country,incomeperperson,alcconsumption,armedforcesrate,breastcancerper100th,co2emissions,femaleemployrate,hivrate,internetuserate,lifeexpectancy,oilperperson,polityscore,relectricperperson,suicideper100th,employrate,urbanrate
Afghanistan, ,0.03,0.57,26.80,75944000.00,25.60, ,3.65,48.67, ,0, ,6.68,55.70,24.04
Albania,1915.00,7.29,1.02,57.40,223747333.33,42.10, ,44.99,76.92, ,9,636.34,7.70,51.40,46.72
Algeria,2231.99,0.69,2.31,23.50,2932108666.67,31.70,0.10,12.50,73.13,0.42,2,590.51,4.85,50.50,65.22
Andorra,21943.34,10.17, , , , , ,81.00, , , , ,5.36, ,88.92
Angola,1381.00,5.57,1.46,23.10,248358000.00,69.40,2.00,10.00,51.09, ,-2,173.00,14.55,75.70,56.70
Antigua and Barbuda,11894.46,8.17, , ,16225000.00, , ,80.65, , , , ,2.16, ,30.46
Argentina,10749.42,9.35,0.56,73.90,5872119000.00,45.90,0.50,36.00,75.90,0.64,8,768.43,7.77,58.40,92.00
Armenia,1326.74,13.66,2.62,51.60,51219666.67,34.20,0.10,44.00,74.24, ,5,603.76,3.74,40.10,63.86
Aruba, , , , ,35871000.00, , ,41.80,75.25, , , , , ,46.78
Australia,25249.99,10.21,0.49,83.20,12970092666.67,54.60,0.10,75.90,81.91,1.91,10,2825.39,8.47,61.50,88.74
Austria,26692.98,12.40,0.82,70.50,4466084333.33,49.70,0.30,72.73,80.85,1.55,10,2068.12,13.09,57.10,67.16
Azerbaijan,2344.90,13.34,1.98,31.50,511107666.67,56.20,0.10,46.68,70.74,0.36,-7,921.56,1.38,60.90,51.92
Bahamas,19630.54,8.65,0.55,54.40,137555000.00,60.70,3.10,42.98,75.62, , , ,3.37,66.60,83.70
Bahrain,12505.21,4.19,5.23,40.20,503994333.33,30.20, ,54.99,75.06, ,-7,7314.36,4.41,60.40,88.52
Bangladesh,558.06,0.17,0.29,16.60,598774000.00,53.60,0.06,3.70,68.94,0.03,5,68.12,14.54,68.10,27.14
Barbados,9243.59,6.42,0.66,62.50,36160666.67,60.30,1.40,70.03,76.84, , , ,3.11,66.90,39.84
Belarus,2737.67,18.85,3.71,36.00,999874333.33,48.60,0.30,32.05,70.35,0.69,-7,614.91,26.87,53.40,73.46
Belgium,24496.05,10.41,0.82,92.00,10897025333.33,41.70,0.20,73.73,80.01, ,8,1920.96,15.95,48.60,97.36
Belize,3545.65,5.92,0.76,29.80,14058000.00,38.80,2.30,12.65,76.07, , , ,9.39,56.80,51.70
Benin,377.04,2.08,0.22,28.10,37950000.00,58.20,1.20,3.13,56.08, ,7,38.22,6.06,71.60,41.20
Bermuda,62682.15, , , ,20331666.67, , ,84.65, , , , , , ,100.00
Bhutan,1324.19,0.54, ,21.80,6024333.33,39.90,0.20,13.60,67.19, ,3, ,15.54,58.40,34.48
